threshold,period,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q05,q10,q90,q95
2.5,2024-12,SOLUSDT,0.0004,53,0.0008875742565847207,0.00028282690338,0.0005285671391238041,0.0007040255185378915,0.5283018867924528,1.3120892745017034,-0.0109081656634439,-0.0086581625169402,0.012115257988706942,0.01635875241119038
2.5,2024-12,SOLUSDT,0.0006,53,0.000687574256584721,8.282690338000007e-05,0.0003285671391238043,0.0005040255185378915,0.5094339622641509,1.233840322516101,-0.0111081656634439,-0.0088581625169402,0.011915257988706941,0.016158752411190382
2.5,2025-01,BNBUSDT,0.0004,52,-0.00034181269127274243,0.00019443484882329995,-0.00032498209651595227,-0.0003383476949533867,0.5192307692307693,0.861152778119191,-0.00845605882293645,-0.00728602708872765,0.005370386486828359,0.007228232911292084
2.5,2025-01,BNBUSDT,0.0006,52,-0.0005418126912727423,-5.565151176699975e-06,-0.0005249820965159521,-0.0005383476949533864,0.5,0.7882296256145095,-0.00865605882293645,-0.0074860270887276495,0.00517038648682836,0.007028232911292084
2.5,2025-01,BTCUSDT,0.0004,60,0.001288274999738294,0.00017653315804845002,0.0008405633451589357,0.0009367308812386052,0.5166666666666667,1.5500706568874918,-0.008916065403600414,-0.00664336044438827,0.009629166306689332,0.012520542815511682
2.5,2025-01,BTCUSDT,0.0006,60,0.0010882749997382943,-2.346684195154991e-05,0.0006405633451589355,0.0007367308812386054,0.5,1.4458986331489132,-0.009116065403600415,-0.00684336044438827,0.009429166306689331,0.012320542815511681
2.5,2025-01,ETHUSDT,0.0004,81,0.0009112515128805382,0.0009342463418433001,0.0008732435591962343,0.0009971825800707001,0.5679012345679012,1.3535404859012177,-0.011389368062595799,-0.0084662565250979,0.0093417915576965,0.0156456203536962
2.5,2025-01,ETHUSDT,0.0006,81,0.0007112515128805385,0.0007342463418433001,0.0006732435591962344,0.0007971825800707001,0.5679012345679012,1.2669940881171886,-0.0115893680625958,-0.0086662565250979,0.0091417915576965,0.015445620353696201
2.5,2025-01,SOLUSDT,0.0004,76,0.000558927163579467,0.000134258365749,0.0013780268546537047,0.0014816791055070895,0.5131578947368421,1.1265476946413642,-0.01532137313625975,-0.013678605492744649,0.01693592512557455,0.020079424975968922
2.5,2025-01,SOLUSDT,0.0006,76,0.00035892716357946723,-6.574163425099994e-05,0.0011780268546537043,0.0012816791055070894,0.4868421052631579,1.0794819961141298,-0.01552137313625975,-0.01387860549274465,0.01673592512557455,0.019879424975968923
2.5,2025-02,BNBUSDT,0.0004,57,-0.00020783263981766488,-0.0018052591824903,-0.00021101737465518665,-5.927144029409667e-05,0.40350877192982454,0.9373998428970868,-0.012022859483464878,-0.00881038007683792,0.010525208094898117,0.014416248725289377
2.5,2025-02,BNBUSDT,0.0006,57,-0.0004078326398176649,-0.0020052591824903,-0.00041101737465518677,-0.0002592714402940966,0.40350877192982454,0.8814198750080359,-0.012222859483464878,-0.00901038007683792,0.010325208094898116,0.014216248725289376
