fast_span,slow_span,adx_threshold,hold_bars,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
24,96,25,48,validation,BTCUSDT,1113,-0.0007550310398376235,-0.0009130173348808717,0.4330637915543576,0.7995868594413482,10,-0.010943177365629995,0.009146270271748523,-0.09087494746881315,0.05409717477625879
24,96,25,48,validation,ETHUSDT,1171,-0.000407603870463592,-0.0012254903789703057,0.4466268146883006,0.924162275414776,12,-0.01597985335938563,0.015740726422178653,-0.11139623654700921,0.06700155170107462
24,96,25,48,validation,SOLUSDT,1140,-0.00035414657193637555,-0.00012464371274624128,0.4956140350877193,0.9475358942819776,8,-0.020307616456939823,0.019736372171866554,-0.2146086054877619,0.06646516027325282
24,96,25,48,confirmation,BNBUSDT,661,-0.0007653739366010224,-0.0006,0.45385779122541603,0.8025327200485842,11,-0.011349907049675822,0.009658132304992507,-0.047426543700985604,0.09151380440461691
24,96,25,48,confirmation,BTCUSDT,679,-0.0009842892153342777,-0.0011408511206772547,0.43004418262150224,0.753507373558331,13,-0.01158615894663677,0.009316725964439936,-0.07139388757564531,0.04927663328411806
24,96,25,48,confirmation,ETHUSDT,679,-0.0005149837973055336,-0.0008387163138727332,0.44477172312223856,0.8889092808733878,9,-0.014314192578169594,0.013174359196713085,-0.09267323708128357,0.06776172059223144
24,96,25,48,confirmation,SOLUSDT,656,-0.0005196097120566502,-0.0011707771199233712,0.4344512195121951,0.9031802736057771,10,-0.0165861047459664,0.016377479694337328,-0.048926011210422685,0.06174845860755111
24,96,25,96,development,BNBUSDT,692,-0.0018638651596218118,-0.0018135778549597907,0.43786127167630057,0.7492858481412082,9,-0.020237299714559075,0.01754649368142964,-0.11117133259257346,0.1037483454784374
24,96,25,96,development,BTCUSDT,709,-0.00074117957941163,-0.0010401799948454686,0.45839210155148097,0.8786605998416195,12,-0.018121327671634168,0.017457446446225888,-0.0767509679518464,0.07855207461144136
24,96,25,96,development,ETHUSDT,714,-0.00047111255687102584,-0.0009066438118746184,0.4677871148459384,0.9341922734483145,8,-0.021817698390164786,0.021734729193700248,-0.11430163277331869,0.15724510367890548
24,96,25,96,development,SOLUSDT,712,-0.0017689122346002289,-0.0018336828408966437,0.47191011235955055,0.8267182964338201,11,-0.02976758258029548,0.027264780867578067,-0.15942368792160316,0.17258220984953937
24,96,25,96,validation,BNBUSDT,707,-0.0007304077730431524,-0.0016274584549406772,0.4497878359264498,0.8850380133725189,13,-0.01777987943065717,0.0168313232793501,-0.09561745378269644,0.11375254161259833
24,96,25,96,validation,BTCUSDT,695,-0.0005172338338972424,-0.0008801570805128772,0.4633093525179856,0.9012046845893239,9,-0.015486085729821995,0.014575167323480168,-0.06453090899215115,0.07065298473044838
24,96,25,96,validation,ETHUSDT,716,-0.0012682390776822732,-0.00029671852865737977,0.4930167597765363,0.851989224895685,8,-0.023741759725594568,0.022897220119426232,-0.1714767192990096,0.15810163286831908
24,96,25,96,validation,SOLUSDT,712,-0.0014177904503498747,-0.0006741842447834484,0.49157303370786515,0.8640835047812314,9,-0.03008763434506862,0.029884426412358476,-0.24465727586936575,0.11138050883193555
24,96,25,96,confirmation,BNBUSDT,417,0.00027411160250319014,-0.0004429182302122075,0.4748201438848921,1.0576161489796656,6,-0.015134647827273428,0.016599675371102567,-0.037570467011683054,0.07862354234897566
24,96,25,96,confirmation,BTCUSDT,424,0.00018260701183444,-0.0004722725456407611,0.47641509433962265,1.0380212053143445,6,-0.015555825264360343,0.015333194359898772,-0.08135423555658179,0.05715690012586609
24,96,25,96,confirmation,ETHUSDT,422,0.0004888954355219,-0.000994753259129965,0.47393364928909953,1.0774951489650348,7,-0.018636471572860767,0.023971910052713777,-0.07830415380474316,0.09470884599203293
24,96,25,96,confirmation,SOLUSDT,412,-0.0008846366257690602,-0.0011582863741690479,0.4563106796116505,0.8802131343883738,10,-0.023093169129910728,0.021186965422868964,-0.0956021542438605,0.06771556503198299
