breakout_window,trend_ema_span,stop_atr_multiple,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown
72,100,2.0,confirmation,BNBUSDT,96,0.0017279695723491778,-0.010644095401003372,0.2916666666666667,1.1845268394950768,12,-0.018013285281400292,0.03638967795398927,-0.029596746043575383,0.08677398303220867,0.19753020672915134
72,100,2.0,confirmation,BTCUSDT,95,-0.0007358145756716009,-0.011219455027735869,0.2736842105263158,0.926957674298473,12,-0.017786299260121808,0.03599094511039512,-0.029616463228893174,0.08176878294604965,0.2951919967350243
72,100,2.0,confirmation,ETHUSDT,89,-0.001000633278187261,-0.014582891288238486,0.30337078651685395,0.9265262948892554,10,-0.02672372285278175,0.04531762154118348,-0.05315469529065327,0.08532973787905744,0.3990280717236352
72,100,2.0,confirmation,SOLUSDT,92,-0.0001110553052025527,-0.016898190108716304,0.2826086956521739,0.9927173613390275,15,-0.027952480416346504,0.051796662025502226,-0.07524330539964759,0.12890712969678803,0.39222641652265344
72,200,1.5,development,BNBUSDT,178,2.1511303100437464e-05,-0.010913083861828831,0.3089887640449438,1.002163428068874,13,-0.019286707144137914,0.033915466344311064,-0.03907296522322186,0.07335319024931801,0.23778720138142928
72,200,1.5,development,BTCUSDT,174,7.044635431200825e-05,-0.010340651776935505,0.3103448275862069,1.0080464587111149,8,-0.016294678623466716,0.03104389314593279,-0.03130727780191729,0.05931908835799919,0.25206444195568756
72,200,1.5,development,ETHUSDT,167,0.0028959689593458966,-0.012038593538291686,0.3652694610778443,1.2929879619620321,6,-0.020032433688572635,0.04142407243777308,-0.04045388169640936,0.06723489072789095,0.11798608084108231
72,200,1.5,development,SOLUSDT,175,-0.0015797450633440473,-0.017508607479857673,0.2857142857142857,0.9013076105378128,9,-0.027576091762791653,0.052441481850871295,-0.054986487963342004,0.11851570866227816,0.4595972842438203
72,200,1.5,validation,BNBUSDT,195,2.6328224998676635e-05,-0.009103821208785234,0.3333333333333333,1.00297791369092,9,-0.018126003875028673,0.02942535334713534,-0.0475841343699573,0.07976973250591739,0.24250310813193987
72,200,1.5,validation,BTCUSDT,186,0.00024090971314741808,-0.007977456423436956,0.3333333333333333,1.0345087228653687,11,-0.01369318283443217,0.02335731923471084,-0.026012063873332613,0.03858650442102156,0.2118154522027471
72,200,1.5,validation,ETHUSDT,188,0.0016778340488281572,-0.01337357299899362,0.3404255319148936,1.1441791280661169,8,-0.022230476146056,0.04129484722533354,-0.035256782807244605,0.10502774400076957,0.2061205202981541
72,200,1.5,validation,SOLUSDT,206,-0.0032501135441037484,-0.017593575962830465,0.27184466019417475,0.7827340477487436,13,-0.02614973816070194,0.043601011717525326,-0.05150276152039564,0.07576773971956711,0.6554770765144143
72,200,1.5,confirmation,BNBUSDT,118,-0.0005948694806679018,-0.008381483254023946,0.2542372881355932,0.9224999263805147,17,-0.013294897312445274,0.026462766811252068,-0.03384816292676114,0.05571186459591408,0.24881389060468106
72,200,1.5,confirmation,BTCUSDT,114,-0.0020812204350330555,-0.008696235154467945,0.24561403508771928,0.7503571826494471,20,-0.014612588971646523,0.025342460606976175,-0.030899413302771194,0.06117658720953727,0.33371087342691674
72,200,1.5,confirmation,ETHUSDT,102,-0.0002383477547508386,-0.011129827093875954,0.28431372549019607,0.9761816629933604,10,-0.018156499843830796,0.033653813333157555,-0.03245571606925253,0.09794005366997509,0.266945681080474
72,200,1.5,confirmation,SOLUSDT,110,-0.0016014840914603957,-0.01314045765819023,0.2636363636363636,0.8672819100304072,15,-0.021864135565048758,0.03573257407318404,-0.05658247904973586,0.09653034727259117,0.4280243727408476
72,200,2.0,development,BNBUSDT,143,0.0020186323623135405,-0.014042774047881078,0.34265734265734266,1.156684781045586,12,-0.028068955118319215,0.04729970597835513,-0.05189728696429581,0.09800425366575731,0.24631239768903146
72,200,2.0,development,BTCUSDT,147,0.00021329183372451822,-0.013454634398094644,0.3129251700680272,1.0185219812598953,7,-0.02123500411672914,0.042325892997041994,-0.0415430370692232,0.07929211781066552,0.2576277763819482
72,200,2.0,development,ETHUSDT,140,0.003532857036772389,-0.01619243390806564,0.35714285714285715,1.2695130699727637,5,-0.024938080980806052,0.05528660398270046,-0.05373850892854566,0.08984652097052119,0.15526638301995954
72,200,2.0,development,SOLUSDT,144,-0.0016362914319007964,-0.023294393314993788,0.3055555555555556,0.922311350425512,7,-0.036855624724793826,0.06949204528026905,-0.07311531728445615,0.11212599143486084,0.5296309058688458
72,200,2.0,validation,BNBUSDT,161,0.0008114267273056536,-0.011938428278380386,0.36024844720496896,1.0708332470346138,10,-0.02424476377976743,0.03902228109892995,-0.06324551249327655,0.08136858508820848,0.22971223817875175
72,200,2.0,validation,BTCUSDT,154,-0.0005492079730150163,-0.010361477477036373,0.3181818181818182,0.9421402518408377,10,-0.018103425034202068,0.030040757068725058,-0.03448275183111023,0.05350120438598131,0.25914853908525626
72,200,2.0,validation,ETHUSDT,157,0.003095136399059457,-0.017659725563564054,0.35668789808917195,1.203669010593945,7,-0.02963686986767009,0.054942036133649876,-0.04680904374299273,0.14023699200102607,0.2679751037633189
