symbol,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
BTCUSDT,REJECT_UP_4H,SHORT,12,60,0.0002,6357,-2.101508327840369e-05,0.00018340051195229207,0.5243039169419538,0.9883313560054456
BTCUSDT,REJECT_UP_4H,SHORT,12,60,0.0004,6357,-0.0002210150832784039,-1.659948804770794e-05,0.49693251533742333,0.8835997076518577
ETHUSDT,REJECT_DOWN_1H,LONG,1,5,0.0,14676,8.202890448937804e-06,8.767271641318963e-05,0.5264377214499864,1.0113381375449846
ETHUSDT,REJECT_DOWN_1H,LONG,1,5,0.0002,14676,-0.0001917971095510622,-0.00011232728358681038,0.46429544835104936,0.7673115010265982
ETHUSDT,REJECT_DOWN_1H,LONG,1,5,0.0004,14676,-0.0003917971095510623,-0.0003123272835868104,0.40474243663123466,0.5820599762096945
ETHUSDT,REJECT_DOWN_1H,LONG,3,15,0.0,14675,-2.411828494050143e-05,0.00016788975828307962,0.5293356047700171,0.980836403912326
ETHUSDT,REJECT_DOWN_1H,LONG,3,15,0.0002,14675,-0.0002241182849405014,-3.2110241716920394e-05,0.4934923339011925,0.834762839384939
ETHUSDT,REJECT_DOWN_1H,LONG,3,15,0.0004,14675,-0.00042411828494050144,-0.0002321102417169204,0.4585349233390119,0.709757304956449
ETHUSDT,REJECT_DOWN_1H,LONG,6,30,0.0,14675,-2.9373266084116652e-05,0.00020674313406043865,0.5258603066439523,0.9832199913420968
ETHUSDT,REJECT_DOWN_1H,LONG,6,30,0.0002,14675,-0.00022937326608411652,6.7431340604386396e-06,0.5008517887563884,0.8758667780365788
ETHUSDT,REJECT_DOWN_1H,LONG,6,30,0.0004,14675,-0.0004293732660841167,-0.00019325686593956137,0.4764565587734242,0.7798111278683193
ETHUSDT,REJECT_DOWN_1H,LONG,12,60,0.0,14675,-6.819950094306846e-06,0.0002634946924640058,0.5263373083475298,0.9971508401573819
ETHUSDT,REJECT_DOWN_1H,LONG,12,60,0.0002,14675,-0.00020681995009430665,6.34946924640058e-05,0.5068483816013628,0.9169516034360963
ETHUSDT,REJECT_DOWN_1H,LONG,12,60,0.0004,14675,-0.0004068199500943068,-0.0001365053075359942,0.4898807495741056,0.8429782034456732
ETHUSDT,REJECT_DOWN_4H,LONG,1,5,0.0,5835,-9.03957147837978e-06,0.00013495276653174848,0.5316195372750643,0.9902211959727915
ETHUSDT,REJECT_DOWN_4H,LONG,1,5,0.0002,5835,-0.00020903957147837976,-6.504723346825153e-05,0.48226221079691517,0.7956269538053775
ETHUSDT,REJECT_DOWN_4H,LONG,1,5,0.0004,5835,-0.0004090395714783798,-0.00026504723346825154,0.4334190231362468,0.6383588317431718
ETHUSDT,REJECT_DOWN_4H,LONG,3,15,0.0,5835,-6.514796861227505e-05,0.0002608015300356037,0.5401885175664096,0.958165499200959
ETHUSDT,REJECT_DOWN_4H,LONG,3,15,0.0002,5835,-0.00026514796861227494,6.080153003560368e-05,0.5093401885175665,0.8395414513801113
ETHUSDT,REJECT_DOWN_4H,LONG,3,15,0.0004,5835,-0.0004651479686122751,-0.00013919846996439633,0.48157669237360756,0.7347258305502375
ETHUSDT,REJECT_DOWN_4H,LONG,6,30,0.0,5835,-0.00010343291601342831,0.00034104417983726876,0.5362467866323908,0.9521102362241954
ETHUSDT,REJECT_DOWN_4H,LONG,6,30,0.0002,5835,-0.00030343291601342816,0.00014104417983726875,0.515681233933162,0.8654100539312706
