symbol,period,experiment,cost,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade,profit_factor_clean
BNBUSDT,2026-07,BASE_SHORT,0.0008,77,0.2987012987012987,-0.0008868887079154737,-0.0010095264701773569,0.545731763825784,0.011917253073336154,-0.009305276421483688,0.545731763825784
BNBUSDT,2026-07,BASE_SHORT,0.001,77,0.2857142857142857,-0.001086888707915474,-0.001209526470177357,0.48119058633735684,0.011717253073336154,-0.009505276421483688,0.48119058633735684
BNBUSDT,2026-07,ATR_CONTRACTING,0.0,30,0.4,0.0001608510860805268,-0.0007572980179980648,1.137520308636547,0.012717253073336154,-0.004286900384634862,1.137520308636547
BNBUSDT,2026-07,ATR_CONTRACTING,0.0002,30,0.4,-3.914891391947318e-05,-0.0009572980179980648,0.9696438467622517,0.012517253073336154,-0.0044869003846348616,0.9696438467622517
BNBUSDT,2026-07,ATR_CONTRACTING,0.0004,30,0.36666666666666664,-0.00023914891391947323,-0.0011572980179980648,0.8303592504219355,0.012317253073336155,-0.004686900384634862,0.8303592504219355
BNBUSDT,2026-07,ATR_CONTRACTING,0.0006,30,0.3333333333333333,-0.0004391489139194731,-0.0013572980179980647,0.7153400167102584,0.012117253073336155,-0.004886900384634862,0.7153400167102584
BNBUSDT,2026-07,ATR_CONTRACTING,0.0008,30,0.3,-0.0006391489139194733,-0.0015572980179980648,0.6194342766825917,0.011917253073336154,-0.005086900384634862,0.6194342766825917
BNBUSDT,2026-07,ATR_CONTRACTING,0.001,30,0.3,-0.0008391489139194734,-0.0017572980179980649,0.538794993452914,0.011717253073336154,-0.005286900384634862,0.538794993452914
BNBUSDT,2026-07,ATR_EXPANDING,0.0,61,0.4098360655737705,-0.000395761563571338,-0.0002748054892396379,0.77316058942516,0.009887727585173645,-0.008505276421483687,0.77316058942516
BNBUSDT,2026-07,ATR_EXPANDING,0.0002,61,0.4098360655737705,-0.0005957615635713379,-0.00047480548923963786,0.6801640913638312,0.009687727585173644,-0.008705276421483688,0.6801640913638312
BNBUSDT,2026-07,ATR_EXPANDING,0.0004,61,0.3442622950819672,-0.0007957615635713378,-0.0006748054892396378,0.5995074140589142,0.009487727585173645,-0.008905276421483687,0.5995074140589142
BNBUSDT,2026-07,ATR_EXPANDING,0.0006,61,0.3114754098360656,-0.0009957615635713382,-0.0008748054892396378,0.5305974838742421,0.009287727585173645,-0.009105276421483687,0.5305974838742421
BNBUSDT,2026-07,ATR_EXPANDING,0.0008,61,0.2786885245901639,-0.0011957615635713376,-0.0010748054892396378,0.47175095479882034,0.009087727585173644,-0.009305276421483688,0.47175095479882034
